season,date,home_team,away_team,home_odds,draw_odds,away_odds,over_1_5_odds,over_2_5_odds,btts_odds,source
2024,2024-10-28,Comerciantes Unidos,ADT,3.2,3.6,2.1,1.24,1.9,1.73,footystats
2024,2024-10-28,Alianza Atlético,Los Chankas,1.64,3.76,5.15,1.18,1.73,1.72,footystats
2024,2024-10-27,Universitario,Cienciano,1.22,5,10.06,0,1.75,2.38,footystats
2024,2024-10-27,Sport Huancayo,Melgar,3.43,3.43,1.93,1.36,2.05,2,footystats
2024,2024-10-27,Unión Comercio,Sporting Cristal,7.21,4.46,1.32,1.16,1.65,1.91,footystats
2024,2024-10-27,Sport Boys,UTC Cajamarca,1.73,3.28,4.42,1.36,2.03,1.91,footystats
2024,2024-10-26,César Vallejo,Carlos Manucci,1.47,3.63,5.45,1.36,1.74,1.83,footystats
2024,2024-10-26,Deportivo Garcilaso,Alianza Lima,3.75,3.14,2.03,1.84,2.24,2,footystats
2024,2024-10-24,Comerciantes Unidos,Sport Boys,2.05,3.3,3.65,1.38,2.15,1.88,footystats
2024,2024-10-23,Sporting Cristal,Universitario,2.68,2.58,3.16,1.3,2.07,1.73,footystats
2024,2024-10-23,Carlos Manucci,Real Garcilaso,2.56,3.64,2.42,1.3,1.86,1.72,footystats
2024,2024-10-23,Cienciano,Alianza Atlético,1.55,3.51,5.95,1.35,2.17,2.2,footystats
2024,2024-10-23,ADT,Unión Comercio,1.34,4.96,7.83,1.18,1.57,2,footystats
2024,2024-10-22,Alianza Lima,Sport Huancayo,1.19,6.13,12.96,1.2,1.61,2.5,footystats
2024,2024-10-22,Melgar,UTC Cajamarca,1.2,5.97,13.36,1.2,1.64,2.3,footystats
2024,2024-10-22,Los Chankas,César Vallejo,1.8,3.49,4.23,1.32,1.95,1.85,footystats
2024,2024-10-22,Atlético Grau,Deportivo Garcilaso,1.67,3.67,4.87,0,1.94,2,footystats
2024,2024-10-19,Universitario,ADT,1.28,5,8.5,1.25,1.75,2.2,footystats
2024,2024-10-19,Alianza Atlético,Sporting Cristal,3.5,3.58,1.98,2.95,1.81,1.67,footystats
2024,2024-10-18,Deportivo Garcilaso,Carlos Manucci,1.5,3.95,6.08,4.06,1.85,1.83,footystats
2024,2024-10-18,César Vallejo,Cienciano,1.72,3.6,4.75,0,2.08,1.91,footystats
2024,2024-10-18,UTC Cajamarca,Alianza Lima,3.88,3.19,1.8,1.5,2.15,1.91,footystats
2024,2024-10-18,Sport Boys,Melgar,3.6,2.95,2.2,0,2.1,1.83,footystats
2024,2024-10-17,Sport Huancayo,Atlético Grau,1.9,3.25,4.15,0,2.15,2,footystats
2024,2024-10-17,Real Garcilaso,Los Chankas,1.4,4.5,7.25,0,1.67,1.83,footystats
2024,2024-10-17,Unión Comercio,Comerciantes Unidos,2.12,3.3,3.08,0,1.7,1.57,footystats
2024,2024-09-30,Atlético Grau,UTC Cajamarca,1.62,3.55,5.01,1.29,2.1,2.1,footystats
2024,2024-09-29,Comerciantes Unidos,Universitario,7.5,4.5,1.42,1.29,2,2.25,footystats
2024,2024-09-29,Carlos Manucci,Sport Huancayo,2.1,3.5,3.3,1.25,1.85,1.73,footystats
2024,2024-09-29,Los Chankas,Deportivo Garcilaso,1.9,3.3,4.2,1.3,1.85,1.73,footystats
2024,2024-09-29,Sporting Cristal,César Vallejo,1.39,4.33,6.3,1.14,1.57,1.73,footystats
2024,2024-09-28,Alianza Lima,Melgar,1.67,3.5,5.75,1.33,2.15,2.1,footystats
2024,2024-09-28,Cienciano,Real Garcilaso,2.6,2.9,2.5,1.33,2.2,1.83,footystats
2024,2024-09-28,ADT,Alianza Atlético,1.55,3.9,6,1.29,1.95,2,footystats
2024,2024-09-27,Unión Comercio,Sport Boys,2.8,3,2.4,1.33,2.2,1.83,footystats
2024,2024-09-24,UTC Cajamarca,Carlos Manucci,1.55,3.79,5.25,1.25,1.83,2,footystats
2024,2024-09-23,Melgar,Atlético Grau,1.38,4.47,7.91,1.25,1.74,2,footystats
