MatchDate,TournamentId,Round,MatchId,HomeTeamId,HomeTeamName,AwayTeamId,AwayTeamName,HomeWinOdds,DrawOdds,AwayWinOdds
2023-06-24,406,1,168,0,Carlos Manucci,0,Deportivo Garcilaso,2.01,3.25,3.2
2023-06-24,406,1,169,0,Sport Huancayo,0,CÃ©sar Vallejo,1.58,3.7,4.6
2023-06-23,406,1,170,0,Alianza Lima,0,AtlÃ©tico Grau,1.35,4.7,7.25
2023-06-22,406,1,171,0,Cienciano,0,Universitario,1.78,2.59,6.14
2023-06-22,406,1,172,0,Melgar,0,ADT,1.72,4.19,3.46
2023-06-22,406,1,173,0,Academia Cantolao,0,Sporting Cristal,4.73,3.3,1.68
2023-06-11,406,1,174,0,Sport Huancayo,0,Universitario,2.44,3.2,2.58
2023-06-11,406,1,175,0,Real Garcilaso,0,CÃ©sar Vallejo,1.53,3.7,5.25
2023-06-11,406,1,176,0,Alianza AtlÃ©tico,0,Sporting Cristal,3.55,3.6,1.97
2023-06-10,406,1,177,0,Alianza Lima,0,Deportivo Garcilaso,1.33,4.8,7
2023-06-10,406,1,178,0,Carlos Manucci,0,ADT,1.83,3.5,3.7
2023-06-10,406,1,179,0,Melgar,0,Deportivo Binacional,1.4,4.4,6.5
2023-06-10,406,1,180,0,Academia Cantolao,0,Deportivo Municipal,3.2,3.5,2
2023-06-10,406,1,181,0,UniÃ³n Comercio,0,AtlÃ©tico Grau,2.25,3.3,2.8
2023-06-09,406,1,182,0,Cienciano,0,Sport Boys,1.25,5.5,9
2023-06-04,406,1,183,0,CÃ©sar Vallejo,0,UTC Cajamarca,1.43,4.28,7.4
2023-06-04,406,1,184,0,Sport Boys,0,Sport Huancayo,2.8,3.52,2.34
2023-06-04,406,1,185,0,AtlÃ©tico Grau,0,Academia Cantolao,1.25,4.8,11
2023-06-03,406,1,186,0,Deportivo Garcilaso,0,UniÃ³n Comercio,1.43,4.5,6.85
2023-06-03,406,1,187,0,Deportivo Binacional,0,Carlos Manucci,1.28,4.8,8.5
2023-06-03,406,1,188,0,Deportivo Municipal,0,Alianza AtlÃ©tico,1.75,3.4,4
2023-06-02,406,1,189,0,Universitario,0,Real Garcilaso,1.29,4.34,7.43
2023-06-02,406,1,190,0,ADT,0,Alianza Lima,2.38,3.35,2.66
2023-06-01,406,1,191,0,Sporting Cristal,0,Cienciano,1.33,4.6,8
2023-05-31,406,1,192,0,Melgar,0,CÃ©sar Vallejo,1.39,4.8,8
2023-05-28,406,1,193,0,Alianza Lima,0,Deportivo Binacional,1.3,5.05,9.3
2023-05-28,406,1,194,0,Carlos Manucci,0,Melgar,2.78,3.09,2.59
2023-05-28,406,1,195,0,Sport Huancayo,0,Sporting Cristal,2.39,3.5,2.73
2023-05-28,406,1,196,0,UTC Cajamarca,0,Universitario,3.04,3.24,2.31
2023-05-28,406,1,197,0,UniÃ³n Comercio,0,ADT,2.36,3.28,2.93
2023-05-27,406,1,198,0,Real Garcilaso,0,Sport Boys,1.31,4.23,7.25
2023-05-27,406,1,199,0,Alianza AtlÃ©tico,0,AtlÃ©tico Grau,1.95,3.3,3.25
2023-05-26,406,1,200,0,Cienciano,0,Deportivo Municipal,1.45,4.15,5.5
