Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeGoals,AwayGoals,HomeOdds,DrawOdds,AwayOdds
2026-05-23,UTC Cajamarca,0.80,Sport Boys,1.42,0,0,1.65,3.70,4.40
2026-05-23,UCV Moquegua,1.04,Universitario,1.88,0,0,3.90,3.30,1.80
2026-05-22,Juan Pablo II College,1.13,Melgar,1.63,1,1,3.50,3.50,1.81
2026-05-17,Los Chankas,1.71,UCV Moquegua,1.04,1,0,1.40,4.50,6.53
2026-05-17,Deportivo Garcilaso,1.75,UTC Cajamarca,0.80,2,0,1.83,3.20,3.80
2026-05-17,ADT,0.92,Comerciantes Unidos,1.21,2,0,1.75,3.40,3.80
2026-05-16,Sport Boys,1.42,Real Garcilaso,1.63,1,0,2.25,3.20,3.05
2026-05-16,Cienciano,1.60,Alianza Lima,2.17,0,1,2.17,3.14,3.39
2026-05-16,Juan Pablo II College,1.13,Alianza Atlético,1.48,0,2,2.40,3.20,2.10
2026-05-16,Melgar,1.63,Sport Huancayo,1.08,4,1,1.55,3.94,5.00
2026-05-15,Universitario,1.88,Atlético Grau,1.21,0,1,1.35,4.45,7.85
2026-05-15,FC Cajamarca,0.96,Sporting Cristal,1.21,3,1,2.50,3.20,2.39
2026-05-11,Sport Boys,1.42,Universitario,1.88,0,1,3.25,3.00,2.10
2026-05-11,Deportivo Garcilaso,1.75,Alianza Atlético,1.48,2,1,1.67,3.30,4.60
2026-05-10,Real Garcilaso,1.63,Los Chankas,1.71,1,1,1.90,3.65,4.09
2026-05-10,Comerciantes Unidos,1.21,Melgar,1.63,1,1,2.50,3.15,2.51
2026-05-10,Sport Huancayo,1.08,Juan Pablo II College,1.13,2,1,1.33,4.60,6.25
2026-05-09,Alianza Lima,2.17,Sporting Cristal,1.21,1,1,1.51,3.90,5.00
2026-05-09,Atlético Grau,1.21,Cienciano,1.60,1,2,2.25,3.10,2.95
2026-05-09,UCV Moquegua,1.04,ADT,0.92,2,2,2.25,3.10,2.87
2026-05-08,UTC Cajamarca,0.80,FC Cajamarca,0.96,1,2,1.90,3.30,3.45
2026-05-04,Los Chankas,1.71,Deportivo Garcilaso,1.75,0,1,1.91,3.20,3.60
2026-05-03,Melgar,1.63,UTC Cajamarca,0.80,2,0,1.43,4.20,6.25
2026-05-03,Alianza Atlético,1.48,Sport Huancayo,1.08,4,1,1.91,3.15,3.60
2026-05-03,Juan Pablo II College,1.13,Universitario,1.88,1,4,4.70,3.40,1.75
2026-05-03,Sporting Cristal,1.21,Real Garcilaso,1.63,2,2,1.65,3.68,4.33
2026-05-02,Alianza Lima,2.17,UCV Moquegua,1.04,2,1,1.15,6.15,14.00
2026-05-02,Cienciano,1.60,Deportivo Garcilaso,1.75,1,0,1.57,3.90,4.90
2026-05-02,ADT,0.92,Atlético Grau,1.21,1,2,1.82,3.42,4.32
2026-05-02,FC Cajamarca,0.96,Sport Boys,1.42,3,2,1.98,3.30,3.20
2026-04-27,Deportivo Garcilaso,1.75,Melgar,1.63,1,0,2.45,2.90,2.75
2026-04-27,ADT,0.92,Los Chankas,1.71,4,0,2.11,2.85,3.05
2026-04-26,Universitario,1.88,Alianza Atlético,1.48,1,2,1.35,4.33,6.60
2026-04-26,Atlético Grau,1.21,Alianza Lima,2.17,0,1,4.80,3.20,1.67
2026-04-26,Real Garcilaso,1.63,Sport Huancayo,1.08,2,1,1.95,3.30,3.40
2026-04-26,UTC Cajamarca,0.80,Cienciano,1.60,2,2,2.20,3.20,2.89
2026-04-25,Sport Boys,1.42,Juan Pablo II College,1.13,1,1,1.53,3.80,5.00
2026-04-25,Comerciantes Unidos,1.21,Sporting Cristal,1.21,1,0,1.97,3.25,3.62
2026-04-25,UCV Moquegua,1.04,FC Cajamarca,0.96,2,1,1.85,3.25,3.25
2026-04-23,Los Chankas,1.71,Cienciano,1.60,1,0,2.15,3.25,2.90
2026-04-22,Universitario,1.88,Deportivo Garcilaso,1.75,4,1,1.27,4.35,9.20
2026-04-22,Real Garcilaso,1.63,FC Cajamarca,0.96,1,0,1.40,4.20,7.00
2026-04-22,Atlético Grau,1.21,Sporting Cristal,1.21,4,1,3.00,3.00,2.11
2026-04-22,Comerciantes Unidos,1.21,Alianza Atlético,1.48,1,0,2.10,3.00,3.25
2026-04-19,Cienciano,1.60,UCV Moquegua,1.04,2,1,,,,
2026-04-19,Melgar,1.63,Universitario,1.88,2,1,2.37,3.00,2.90
2026-04-19,Alianza Atlético,1.48,Sport Boys,1.42,0,1,1.85,3.15,4.00
2026-04-19,Sporting Cristal,1.21,UTC Cajamarca,0.80,3,2,1.36,4.90,7.34
2026-04-18,Alianza Lima,2.17,Real Garcilaso,1.63,8,0,1.43,4.33,6.97
2026-04-18,Sport Huancayo,1.08,Deportivo Garcilaso,1.75,2,1,1.90,3.40,4.20
2026-04-18,Juan Pablo II College,1.13,Comerciantes Unidos,1.21,2,2,2.05,3.10,3.10
2026-04-18,FC Cajamarca,0.96,ADT,0.92,2,2,2.55,3.25,2.52
2026-04-17,Los Chankas,1.71,Atlético Grau,1.21,2,0,1.70,3.30,4.70
2026-04-15,UTC Cajamarca,0.80,Sport Huancayo,1.08,2,2,2.25,3.10,3.15
2026-04-14,Sport Boys,1.42,Melgar,1.63,1,3,2.19,3.43,2.83
2026-04-14,ADT,0.92,Alianza Lima,2.17,0,1,3.36,3.20,2.11
2026-04-14,UCV Moquegua,1.04,Juan Pablo II College,1.13,3,0,1.83,3.30,3.70
2026-04-06,FC Cajamarca,0.96,Los Chankas,1.71,0,1,2.47,3.18,2.54
2026-04-05,Juan Pablo II College,1.13,UTC Cajamarca,0.80,2,1,2.30,2.95,3.00
2026-04-05,Sport Huancayo,1.08,Comerciantes Unidos,1.21,1,1,1.50,3.80,4.50
2026-04-04,Universitario,1.88,Alianza Lima,2.17,1,0,2.12,3.00,3.51
2026-04-04,Melgar,1.63,Real Garcilaso,1.63,1,3,1.70,3.50,4.33
2026-04-04,Deportivo Garcilaso,1.75,Sport Boys,1.42,3,2,1.65,3.50,4.50
2026-04-03,Cienciano,1.60,ADT,0.92,3,2,1.52,3.90,5.00
2026-04-03,Alianza Atlético,1.48,Atlético Grau,1.21,2,2,2.26,3.20,3.67
2026-04-03,Sporting Cristal,1.21,UCV Moquegua,1.04,1,2,1.15,6.25,11.50
2026-03-22,Sport Boys,1.42,Sport Huancayo,1.08,3,0,2.24,2.95,2.95
2026-03-22,Atlético Grau,1.21,Deportivo Garcilaso,1.75,0,0,2.00,2.95,3.81
2026-03-22,UTC Cajamarca,0.80,Alianza Atlético,1.48,1,1,2.02,2.85,4.15
2026-03-21,Alianza Lima,2.17,Juan Pablo II College,1.13,2,0,1.25,5.25,8.65
2026-03-21,Los Chankas,1.71,Sporting Cristal,1.21,3,2,3.15,3.44,2.05
2026-03-21,Comerciantes Unidos,1.21,Universitario,1.88,0,0,3.90,3.20,1.85
2026-03-06,Atlético Grau,1.21,FC Cajamarca,0.96,1,0,1.67,3.20,4.90
2026-03-01,Universitario,1.88,FC Cajamarca,0.96,1,0,1.13,6.10,9.20
2026-03-01,Juan Pablo II College,1.13,Real Garcilaso,1.63,2,1,3.10,3.15,2.16
2026-03-01,Comerciantes Unidos,1.21,Atlético Grau,1.21,3,1,1.99,3.20,4.30
2026-02-28,Sport Boys,1.42,UCV Moquegua,1.04,0,0,1.44,3.98,5.75
2026-02-28,UTC Cajamarca,0.80,Alianza Lima,2.17,0,1,2.75,3.20,2.40
2026-02-28,Sport Huancayo,1.08,Sporting Cristal,1.21,2,1,1.67,3.50,4.20
2026-02-27,Deportivo Garcilaso,1.75,Cienciano,1.60,2,3,2.70,3.10,2.37
2026-02-27,Melgar,1.63,Los Chankas,1.71,1,2,1.33,4.80,8.80
2026-02-27,Alianza Atlético,1.48,ADT,0.92,0,0,2.25,3.08,3.20
